SAMPLE_ID,Average initial ?Hf ,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References,,,,,,,,,,,,,,
179450,1.8,2832,-28.0237,123.8768,meta-igneous felsic intrusive,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
183150,2.5,2677,-28.1591,123.6906,meta-igneous felsic volcanic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
153318,2.8,2719,-27.6516,122.3147,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
178122,2.2,2770,-28.0455,123.4900,meta-igneous felsic volcanic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
179448,3.3,2932,-27.7590,123.3721,meta-igneous felsic intrusive,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
179449,1.9,2643,-27.9925,123.4250,igneous granitic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
183147,1.9,2665,-28.2084,123.6464,igneous granitic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
193360,2.0,2769,-29.3342,123.2235,meta-igneous felsic intrusive,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
193410,1.1,2738,-29.2348,123.3181,meta-igneous felsic intrusive,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
96969080,3.1,2671,-28.4928,122.7887,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
DK10-87,2.8,2804,-27.4567,121.9445,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
DK10-98,1.6,2801,-27.4567,121.9445,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
179435,1.5,2660,-28.0817,123.1227,igneous granitic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
100710,1.3,2683,-30.5583,121.6946,igneous felsic volcanic,Wyche et al. (2012) - GSWA batch 12,,,,,,,,,,,,,,
