SAMPLE_ID,Average initial ?Nd,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References
224377,-6.5,2600,-32.8703,116.5099,biotite leucogranite,GSWA
142899,-1.1,2600,-25.5361,117.2794,metamonzogranite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
83551,-4.8,2602,-29.1919,116.2516,granite,"Watkins, KP and Hickman, AH 1990, Geological evolution and mineralisation of the Murchison Province, Western Australia: Geological Survey of Western Australia Bulletin 137."
185929,-2.2,2606,-26.6976,117.9742,granitic rock,GSWA
184115,-1.5,2608,-33.7197,115.8639,coarse-grained granite gneiss,GSWA
142907,-6.9,2608,-25.4870,117.0415,biotite monzogranite dyke,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
224305,-2.4,2611,-33.4001,115.9789,biotite granite,GSWA
52475F,-2.9,2612,-32.9944,115.9833,porph granite,"Fletcher, IR, Wilde, SA and Rosman, KJR 1985, Sm-Nd model ages across the margins of the Archaean Yilgarn Block, Western Australia III, the western margin: Australian Journal of Earth Sciences, v. 32, p. 73–82."
52478D,-2.6,2612,-32.8806,116.1597,porph granite,"Fletcher, IR, Wilde, SA and Rosman, KJR 1985, Sm-Nd model ages across the margins of the Archaean Yilgarn Block, Western Australia III, the western margin: Australian Journal of Earth Sciences, v. 32, p. 73–82."
224309,-1.9,2615,-33.8575,116.4219,biotite leucogranite,GSWA
142914,-6.3,2615,-25.7341,117.1393,porphyritic biotite-hornblende monzogranite,"Wyche, S, Kirkland, CL, Riganti, A, Pawley, MJ, Belousova, E and Wingate, MTD 2012, Isotopic constraints on stratigraphy in the central and eastern Yilgarn Craton, Western Australia: Australian Journal of Earth Sciences, v. 59, p. 657–670."
